2026-04-13 19:09:28.953 [restartedMain] DEBUG c.q.clinic.clinicserver.ClinicServerApplication - Running with Spring Boot v3.4.5, Spring v6.2.6
2026-04-13 19:09:28.953 [restartedMain] DEBUG org.springframework.boot.SpringApplication - Loading source class com.qkplm.clinic.clinicserver.ClinicServerApplication
2026-04-13 19:09:29.050 [restartedMain] DEBUG o.s.boot.devtools.restart.ChangeableUrls - Matching URLs for reloading : [file:/D:/Wcke/000SourceCode/IDEAProjects/Clinic-Server/target/classes/]
2026-04-13 19:09:29.051 [restartedMain] DEBUG o.s.boot.devtools.settings.DevToolsSettings - Included patterns for restart : [/mybatis-plus-[\w-]+.jar]
2026-04-13 19:09:29.051 [restartedMain] DEBUG o.s.boot.devtools.settings.DevToolsSettings - Excluded patterns for restart : [/spring-boot-starter-[\w-]+/, /spring-boot/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot-actuator/(bin|build|out)/, /spring-boot-autoconfigure/(bin|build|out)/]
2026-04-13 19:09:29.052 [restartedMain] DEBUG o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3621edd
2026-04-13 19:09:29.073 [restartedMain] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2026-04-13 19:09:29.084 [restartedMain] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2026-04-13 19:09:29.154 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\libcommon\config\BQApiExceptionHandler.class]
2026-04-13 19:09:29.155 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\libcommon\config\BQApplicationContext.class]
2026-04-13 19:09:29.155 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\libcommon\config\BQJwtConfig.class]
2026-04-13 19:09:29.157 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\libcommon\config\BQMybatisPlusConfig.class]
2026-04-13 19:09:29.162 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\libcommon\config\BQRestResponseAdvice.class]
2026-04-13 19:09:29.165 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\libcommon\config\BQSecurityBaseConfig.class]
2026-04-13 19:09:29.186 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\libcommon\mybatis\BQMyBatisPlusMetaObjectHandler.class]
2026-04-13 19:09:29.187 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\libcommon\mybatis\BQTenantHandler.class]
2026-04-13 19:09:29.190 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\libcommon\security\BQAuthenticationFilter.class]
2026-04-13 19:09:29.209 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\aop\BQLogAspect.class]
2026-04-13 19:09:29.209 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\config\BQWebConfig.class]
2026-04-13 19:09:29.231 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\config\security\BQWebSecurityConfig.class]
2026-04-13 19:09:29.243 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\consumer\BQFullTextConsumer.class]
2026-04-13 19:09:29.244 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\consumer\BQOcrConsumer.class]
2026-04-13 19:09:29.245 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\consumer\BQOplogConsumer.class]
2026-04-13 19:09:29.252 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\BqEnumItemController.class]
2026-04-13 19:09:29.253 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\BqLogController.class]
2026-04-13 19:09:29.254 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\BQLoginController.class]
